,average_degree,density,longest_path,degree_centralization,betweenness_centralization,003,012,021D,021U,021C,030T,dominant_topic
811812616,2.292207792207792,0.0037332374465924956,0.03896103896103896,0.5203423388899534,0.0011190978812417123,15355.288961038961,252.75974025974025,0.5292207792207793,48.003246753246756,0.37337662337662336,0.045454545454545456,2
811813152,2.0398671096345513,0.003399778516057586,0.036544850498338874,0.7817279821627647,0.00038959494611668326,14736.681063122924,121.68106312292359,0.023255813953488372,91.3687707641196,0.2425249169435216,0.0033222591362126247,2
811816839,2.00709219858156,0.003571338431639787,0.10283687943262411,0.050152516522623286,0.003075026188335293,12834.170212765957,277.38652482269504,0.1347517730496454,0.6666666666666666,0.9219858156028369,0.05319148936170213,0
811818922,2.2578397212543555,0.003947272239955167,0.07665505226480836,0.07655502392344497,0.0031403757572325947,13266.104529616725,316.1498257839721,0.18118466898954705,1.1986062717770034,1.264808362369338,0.10104529616724739,0
811819764,2.7088607594936707,0.004299778983323287,0.10126582278481013,0.15747649378222628,0.008100453675218614,16067.585443037975,409.626582278481,0.7025316455696202,5.0664556962025316,1.9303797468354431,0.08860759493670886,4
811819833,2.3174603174603177,0.0036902234354463655,0.06031746031746032,0.05987871634683869,0.0017410902748713412,16020.444444444445,357.247619047619,0.2126984126984127,1.0380952380952382,1.2380952380952381,0.1523809523809524,0
811821247,1.7366548042704626,0.0031011692933401117,0.03558718861209965,0.10166410650281618,0.0004754132835930075,12780.2384341637,237.27402135231316,0.017793594306049824,1.9217081850533808,0.5338078291814946,0.014234875444839857,0
811822140,2.0,0.004,0.06374501992031872,0.060481927710843375,0.0021817831325301215,10127.924302788844,245.18326693227093,0.09561752988047809,0.8565737051792829,0.9083665338645418,0.03187250996015936,0
811822902,2.0288808664259927,0.0036755088159891175,0.07942238267148015,0.21156785243741766,0.004958039754826159,12378.635379061372,263.7725631768953,0.07942238267148015,6.754512635379061,0.7436823104693141,0.01444043321299639,4
811823812,2.082474226804124,0.0035904728048346962,0.041237113402061855,0.3017897625581673,0.00036737448004311974,13682.041237113403,271.7216494845361,0.024054982817869417,13.731958762886597,0.7594501718213058,0.054982817869415807,0
811824595,2.021818181818182,0.0036894492368944923,0.05818181818181818,0.03300713884655491,0.0021105841074939035,12192.687272727273,272.68,0.14909090909090908,0.45454545454545453,0.9963636363636363,0.03272727272727273,0
811826025,1.5757575757575757,0.0029957368360410187,0.022727272727272728,0.11273328882825878,0.00022199195928900278,11280.318181818182,201.6098484848485,0.015151515151515152,2.109848484848485,0.2765151515151515,0.003787878787878788,1
811826053,1.9635036496350364,0.0035961605304670997,0.10948905109489052,0.22153092006033182,0.006860091176510032,12117.040145985402,250.8978102189781,0.10218978102189781,7.266423357664234,0.6788321167883211,0.014598540145985401,4
811826927,2.1133333333333333,0.0035340022296544036,0.13666666666666666,0.04002154833785998,0.011584708937913349,14537.383333333333,311.06666666666666,0.16,0.6766666666666666,0.9933333333333333,0.05333333333333334,0
811826963,2.302013422818792,0.003875443472758909,0.07718120805369127,0.1243971243971244,0.001925862195222464,14315.614093959732,332.241610738255,0.12416107382550336,2.8221476510067114,1.0302013422818792,0.16778523489932887,0
811827533,1.86,0.0031103678929765887,0.02666666666666667,0.16545083163116428,0.0002833174020469863,14579.556666666667,264.4266666666667,0.03666666666666667,5.783333333333333,0.5166666666666667,0.013333333333333334,1
